mlbam_id,id_source,id_resolved,card_number,player_name_raw,affiliation_raw,raw_line,is_multi_player
816113,override,yes,BD-1,"Eli Willits,",Washington Nationals,"BD-1	Eli Willits,	Washington Nationals",False
815832,override,yes,BD-2,"Xavier Neyens,",Houston Astros,"BD-2	Xavier Neyens,	Houston Astros",False
807739,cache,yes,BD-3,"Kade Anderson,",Seattle Mariners,"BD-3	Kade Anderson,	Seattle Mariners",False
805906,override,yes,BD-4,"Gage Wood,",Philadelphia Phillies,"BD-4	Gage Wood,	Philadelphia Phillies",False
803284,cache,yes,BD-5,"Max Belyeu,",Colorado Rockies,"BD-5	Max Belyeu,	Colorado Rockies",False
828140,override,yes,BD-6,"Aidan West,",Los Angeles Dodgers,"BD-6	Aidan West,	Los Angeles Dodgers",False
828685,override,yes,BD-7,"Taitn Gray,",Tampa Bay Rays,"BD-7	Taitn Gray,	Tampa Bay Rays",False
828098,override,yes,BD-8,"JoJo Parker,",Toronto Blue Jays,"BD-8	JoJo Parker,	Toronto Blue Jays",False
682987,override,yes,BD-9,"Spencer Jones,",New York Yankees,"BD-9	Spencer Jones,	New York Yankees",False
815814,override,yes,BD-10,"Billy Carlson,",Chicago White Sox,"BD-10	Billy Carlson,	Chicago White Sox",False
701527,override,yes,BD-11,"Mike Sirota,",Los Angeles Dodgers,"BD-11	Mike Sirota,	Los Angeles Dodgers",False
824604,override,yes,BD-12,"Liam Doyle,",St. Louis Cardinals,"BD-12	Liam Doyle,	St. Louis Cardinals",False
808265,override,yes,BD-13,"Franklin Arias,",Boston Red Sox,"BD-13	Franklin Arias,	Boston Red Sox",False
702505,override,yes,BD-14,"J.D. Thompson,",Milwaukee Brewers,"BD-14	J.D. Thompson,	Milwaukee Brewers",False
815818,override,yes,BD-15,"Gavin Fien,",Texas Rangers,"BD-15	Gavin Fien,	Texas Rangers",False
702610,override,yes,BD-16,"Ike Irish,",Baltimore Orioles,"BD-16	Ike Irish,	Baltimore Orioles",False
828255,override,yes,BD-17,"Ethan Conrad,",Chicago Cubs,"BD-17	Ethan Conrad,	Chicago Cubs",False
695731,override,yes,BD-18,"Braden Montgomery,",Chicago White Sox,"BD-18	Braden Montgomery,	Chicago White Sox",False
691792,override,yes,BD-19,"Roc Riggio,",Colorado Rockies,"BD-19	Roc Riggio,	Colorado Rockies",False
829162,override,yes,BD-20,"Steele Hall,",Cincinnati Reds,"BD-20	Steele Hall,	Cincinnati Reds",False
815824,override,yes,BD-21,"Josiah Hartshorn,",Chicago Cubs,"BD-21	Josiah Hartshorn,	Chicago Cubs",False
702539,override,yes,BD-22,"Zach Root,",Los Angeles Dodgers,"BD-22	Zach Root,	Los Angeles Dodgers",False
804981,override,yes,BD-23,"Riley Quick,",Minnesota Twins,"BD-23	Riley Quick,	Minnesota Twins",False
815915,override,yes,BD-24,"Joswa Lugo,",Los Angeles Angels,"BD-24	Joswa Lugo,	Los Angeles Angels",False
815825,override,yes,BD-25,"Seth Hernandez,",Pittsburgh Pirates,"BD-25	Seth Hernandez,	Pittsburgh Pirates",False
806258,override,yes,BD-26,"Thomas White,",Miami Marlins,"BD-26	Thomas White,	Miami Marlins",False
830336,override,yes,BD-27,"Mason Peters,",Seattle Mariners,"BD-27	Mason Peters,	Seattle Mariners",False
702504,override,yes,BD-28,"Gavin Turley,",Athletics,"BD-28	Gavin Turley,	Athletics",False
804817,override,yes,BD-29,"Kyson Witherspoon,",Boston Red Sox,"BD-29	Kyson Witherspoon,	Boston Red Sox",False
701364,override,yes,BD-30,"Jamie Arnold,",Athletics,"BD-30	Jamie Arnold,	Athletics",False
815902,override,yes,BD-31,"Yandel Ricardo,",Kansas City Royals,"BD-31	Yandel Ricardo,	Kansas City Royals",False
815653,override,yes,BD-32,"Tyson Lewis,",Cincinnati Reds,"BD-32	Tyson Lewis,	Cincinnati Reds",False
807276,override,yes,BD-33,"Dante Nori,",Philadelphia Phillies,"BD-33	Dante Nori,	Philadelphia Phillies",False
829035,override,yes,BD-34,"Andrew Salas,",Miami Marlins,"BD-34	Andrew Salas,	Miami Marlins",False
805796,override,yes,BD-35,"Arjun Nimmala,",Toronto Blue Jays,"BD-35	Arjun Nimmala,	Toronto Blue Jays",False
694371,override,yes,BD-36,"Tommy Troy,",Arizona Diamondbacks,"BD-36	Tommy Troy,	Arizona Diamondbacks",False
803285,override,yes,BD-37,"Tyler Bremner,",Los Angeles Angels,"BD-37	Tyler Bremner,	Los Angeles Angels",False
805422,override,yes,BD-38,"Nate Snead,",Los Angeles Angels,"BD-38	Nate Snead,	Los Angeles Angels",False
806953,override,yes,BD-39,"Eduardo Tait,",Minnesota Twins,"BD-39	Eduardo Tait,	Minnesota Twins",False
702264,override,yes,BD-40,"Gavin Kilen,",San Francisco Giants,"BD-40	Gavin Kilen,	San Francisco Giants",False
814439,override,yes,BD-41,"Ryan Waldschmidt,",Arizona Diamondbacks,"BD-41	Ryan Waldschmidt,	Arizona Diamondbacks",False
804756,override,yes,BD-42,"Jacob Morrison,",Milwaukee Brewers,"BD-42	Jacob Morrison,	Milwaukee Brewers",False
806146,override,yes,BD-43,"George Lombard Jr.,",New York Yankees,"BD-43	George Lombard Jr.,	New York Yankees",False
816102,override,yes,BD-44,"Landon Harmon,",Washington Nationals,"BD-44	Landon Harmon,	Washington Nationals",False
801075,override,yes,BD-45,"Walker Janek,",Houston Astros,"BD-45	Walker Janek,	Houston Astros",False
701906,override,yes,BD-46,"Trevor Cohen,",San Francisco Giants,"BD-46	Trevor Cohen,	San Francisco Giants",False
829649,override,yes,BD-47,"Colin Yeaman,",Baltimore Orioles,"BD-47	Colin Yeaman,	Baltimore Orioles",False
703601,override,yes,BD-48,"Max Clark,",Detroit Tigers,"BD-48	Max Clark,	Detroit Tigers",False
683953,override,yes,BD-49,"Travis Bazzana,",Cleveland Guardians,"BD-49	Travis Bazzana,	Cleveland Guardians",False
702695,override,yes,BD-50,"Easton Carmichael,",Pittsburgh Pirates,"BD-50	Easton Carmichael,	Pittsburgh Pirates",False
805706,override,yes,BD-51,"AJ Russell,",Texas Rangers,"BD-51	AJ Russell,	Texas Rangers",False
695560,override,yes,BD-52,"Pico Kohn,",New York Yankees,"BD-52	Pico Kohn,	New York Yankees",False
805255,override,yes,BD-53,"Dominick Reid,",Chicago Cubs,"BD-53	Dominick Reid,	Chicago Cubs",False
815071,override,yes,BD-54,"Marcus Phillips,",Boston Red Sox,"BD-54	Marcus Phillips,	Boston Red Sox",False
815929,override,yes,BD-55,"Jhonny Level,",San Francisco Giants,"BD-55	Jhonny Level,	San Francisco Giants",False
682607,override,yes,BD-56,"Antonio Jimenez,",New York Mets,"BD-56	Antonio Jimenez,	New York Mets",False
834681,override,yes,BD-57,"Matthew Miura,",St. Louis Cardinals,"BD-57	Matthew Miura,	St. Louis Cardinals",False
829210,override,yes,BD-58,"Ty Harvey,",San Diego Padres,"BD-58	Ty Harvey,	San Diego Padres",False
805808,override,yes,BD-59,"Kevin McGonigle,",Detroit Tigers,"BD-59	Kevin McGonigle,	Detroit Tigers",False
800522,override,yes,BD-60,"Josue Briceño,",Detroit Tigers,"BD-60	Josue Briceño,	Detroit Tigers",False
815380,override,yes,BD-61,"Luke Dickerson,",Washington Nationals,"BD-61	Luke Dickerson,	Washington Nationals",False
703610,override,yes,BD-62,"Justin Lamkin,",Kansas City Royals,"BD-62	Justin Lamkin,	Kansas City Royals",False
805207,override,yes,BD-63,"Caden Bodine,",Baltimore Orioles,"BD-63	Caden Bodine,	Baltimore Orioles",False
703680,override,yes,BD-64,"Brandon Compton,",Miami Marlins,"BD-64	Brandon Compton,	Miami Marlins",False
809763,override,yes,BD-65,"Kaeden Kent,",New York Yankees,"BD-65	Kaeden Kent,	New York Yankees",False
702568,override,yes,BD-66,"Mason Morris,",Cincinnati Reds,"BD-66	Mason Morris,	Cincinnati Reds",False
